name,profile_url,image_url,local_path
Benjamin Goldberg,http://cs.nyu.edu/cs/faculty/goldberg/,https://cs.nyu.edu/media/faculty_photos/Goldberg_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Benjamin_Goldberg.jpg
Rachel Greenstadt,https://engineering.nyu.edu/faculty/rachel-greenstadt,https://cs.nyu.edu/media/faculty_photos/rachel_greenstadt.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rachel_Greenstadt.jpg
Anupam Gupta,https://cs.nyu.edu/~anupamg/,https://cs.nyu.edu/media/faculty_photos/anupam-gupta-2_PaZ6eIn.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Anupam_Gupta.jpeg
unknown_33,,https://cs.nyu.edu/media/faculty_photos/EranHalperinheadshot.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/unknown_33.jpg
He He,https://hhexiy.github.io/,https://cs.nyu.edu/media/faculty_photos/He_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/He_He.jpg
Chinmay Hegde,https://engineering.nyu.edu/faculty/chinmay-hegde,https://cs.nyu.edu/media/faculty_photos/chinmay_hegde.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Chinmay_Hegde.jpg
Lisa Hellerstein,https://engineering.nyu.edu/faculty/lisa-hellerstein,https://cs.nyu.edu/media/faculty_photos/lisa_hellerstein.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Lisa_Hellerstein.jpg
Pavel Izmailov,https://engineering.nyu.edu/faculty/pavel-izmailov,https://cs.nyu.edu/media/faculty_photos/pavel_izmailov.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Pavel_Izmailov.jpeg
unknown_38,,https://cs.nyu.edu/media/faculty_photos/evan_johnson.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/unknown_38.jpeg
Gautam Kamath,http://www.gautamkamath.com/#http://%20http://www.gautamkamath.com/,https://cs.nyu.edu/media/faculty_photos/gautam_Kamath.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Gautam_Kamath.jpg
Julia Kempe,https://cims.nyu.edu/~kempe/,https://cs.nyu.edu/media/faculty_photos/Kempe_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Julia_Kempe.jpg
Sanjeev Khanna,https://www.cis.upenn.edu/~sanjeev/,https://cs.nyu.edu/media/faculty_photos/Sanjeev_Profile_Photo.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sanjeev_Khanna.jpg
Subhash Khot,http://cs.nyu.edu/~khot/,https://cs.nyu.edu/media/faculty_photos/Khot_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Subhash_Khot.jpg
Robert Krueger,https://engineering.nyu.edu/faculty/robert-krueger,https://cs.nyu.edu/media/faculty_photos/robert_krueger.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Robert_Krueger.jpg
Yann LeCun,http://yann.lecun.com/,https://cs.nyu.edu/media/faculty_photos/Lecun_16-0015_0310_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Yann_LeCun.jpg
Jinyang Li,http://cs.nyu.edu/~jinyang/,https://cs.nyu.edu/media/faculty_photos/Li_16-0015_0086_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Jinyang_Li.jpg
Allen Liu,https://aliu42.github.io/,https://cs.nyu.edu/media/faculty_photos/pro-pic-3-3.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Allen_Liu.jpg
Romain Lopez,https://romain-lopez.github.io/,https://cs.nyu.edu/media/faculty_photos/avatar_huee5440d67f790764fd5d8017075b032f_1280543_250x250_fill_q90_lanczos_center.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Romain_Lopez.jpg
Fermi Ma,https://fermima.com/,https://cs.nyu.edu/media/faculty_photos/fermi.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Fermi_Ma.png
Damon McCoy,https://engineering.nyu.edu/faculty/damon-mccoy,https://cs.nyu.edu/media/faculty_photos/damon_mccoy.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Damon_McCoy.jpg
Nasir Memon,https://engineering.nyu.edu/faculty/nasir-memon,https://cs.nyu.edu/media/faculty_photos/Memon_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Nasir_Memon.jpg
Bhubaneswar Mishra,http://cs.nyu.edu/cs/faculty/mishra/,https://cs.nyu.edu/media/faculty_photos/Mishra_16-0015_0263_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Bhubaneswar_Mishra.jpg
Mehryar Mohri,http://cs.nyu.edu/cs/faculty/mohri/,https://cs.nyu.edu/media/faculty_photos/Mohri_16-0015_0666_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Mehryar_Mohri.jpg
Christopher Musco,https://engineering.nyu.edu/faculty/christopher-musco,https://cs.nyu.edu/media/faculty_photos/christopher_musco.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Christopher_Musco.jpeg
Michael Overton,http://cs.nyu.edu/cs/faculty/overton/,https://cs.nyu.edu/media/faculty_photos/Overton_16-0015_0604_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Michael_Overton.jpg
Aurojit Panda,https://cs.nyu.edu/~apanda/,https://cs.nyu.edu/media/faculty_photos/Panda_250x250_0cflZFt.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Aurojit_Panda.jpg
Daniele Panozzo,http://cs.nyu.edu/~panozzo/,https://cs.nyu.edu/media/faculty_photos/Panozzo_250x250_tLQe4j9.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Daniele_Panozzo.jpg
Sunoo Park,https://sunoopark.com/,https://cs.nyu.edu/media/faculty_photos/sunoo-cropped.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sunoo_Park.jpg
Benjamin Peherstorfer,https://cims.nyu.edu/~pehersto/,https://cs.nyu.edu/media/faculty_photos/Peherstorfer_250x250_D3KQHjs.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Benjamin_Peherstorfer.jpg
Juan Perdomo Silva,http://jcperdomo.org/,https://cs.nyu.edu/media/faculty_photos/juan_carlos_perdomo_BmIoIYn.JPG,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Juan_Perdomo_Silva.jpg
Kenneth Perlin,http://cs.nyu.edu/~perlin/,https://cs.nyu.edu/media/faculty_photos/Perlin_16-0015_1040_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Kenneth_Perlin.jpg
Lerrel Pinto,https://cs.nyu.edu/lerrel,https://cs.nyu.edu/media/faculty_photos/lerrel.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Lerrel_Pinto.jpg
Rajesh Ranganath,https://cims.nyu.edu/~rajeshr/,https://cs.nyu.edu/media/faculty_photos/Ranganath_250x250_cCkxoxI.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rajesh_Ranganath.jpg
